date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:48	25009/25009	---M--	200	added ('OK')	application/javascript	etag:%2261b1-5991b2cf56640%22	http://localhost:8080/wordpress/wp-content/themes/twentytwenty/assets/js/index.js?ver=1.1	C:/Users/sss/Desktop/hhh/wp/wordpress/wp-content/themes/twentytwenty/assets/js/index4963.js	(from )
00:01:53	35289/35289	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:01:48%20GMT	http://localhost:8080/wordpress/?p=1001	C:/Users/sss/Desktop/hhh/wp/wordpress/indexcf8a.html	(from http://localhost:8080/wordpress/)
00:01:59	124370/124370	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:01:48%20GMT	http://localhost:8080/wordpress/?cat=2	C:/Users/sss/Desktop/hhh/wp/wordpress/index3f7b.html	(from http://localhost:8080/wordpress/)
00:02:00	53921/53921	---MC-	200	added ('OK')	application/rss+xml	etag:%22d4e35160704d9c7666e8fc3e2b666699%22	http://localhost:8080/wordpress/?feed=rss2	C:/Users/sss/Desktop/hhh/wp/wordpress/indexd784.html	(from http://localhost:8080/wordpress/)
00:02:03	37152/37152	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:01:59%20GMT	http://localhost:8080/wordpress/?p=1000	C:/Users/sss/Desktop/hhh/wp/wordpress/indexbb97.html	(from http://localhost:8080/wordpress/)
00:02:05	34584/34584	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:00%20GMT	http://localhost:8080/wordpress/?p=999	C:/Users/sss/Desktop/hhh/wp/wordpress/index58aa.html	(from http://localhost:8080/wordpress/)
00:02:05	126534/126534	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:01:53%20GMT	http://localhost:8080/wordpress/?author=1	C:/Users/sss/Desktop/hhh/wp/wordpress/indexcd64.html	(from http://localhost:8080/wordpress/)
00:02:07	37528/37528	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:03%20GMT	http://localhost:8080/wordpress/?p=998	C:/Users/sss/Desktop/hhh/wp/wordpress/indexefbf.html	(from http://localhost:8080/wordpress/)
00:02:10	38569/38569	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:05%20GMT	http://localhost:8080/wordpress/?p=997	C:/Users/sss/Desktop/hhh/wp/wordpress/index7451.html	(from http://localhost:8080/wordpress/)
00:02:10	34898/34898	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:05%20GMT	http://localhost:8080/wordpress/?p=996	C:/Users/sss/Desktop/hhh/wp/wordpress/index3fd6.html	(from http://localhost:8080/wordpress/)
00:02:11	90309/90309	---MC-	200	added ('OK')	application/json	date:Mon,%2013%20Jan%202020%2016:01:44%20GMT	http://localhost:8080/wordpress/index.php?rest_route=/	C:/Users/sss/Desktop/hhh/wp/wordpress/index52f0.json	(from )
00:02:11	34597/34597	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:07%20GMT	http://localhost:8080/wordpress/?p=995	C:/Users/sss/Desktop/hhh/wp/wordpress/indexac83.html	(from http://localhost:8080/wordpress/)
00:02:14	36257/36257	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:10%20GMT	http://localhost:8080/wordpress/?p=994	C:/Users/sss/Desktop/hhh/wp/wordpress/index2132.html	(from http://localhost:8080/wordpress/)
00:02:14	38494/38494	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:10%20GMT	http://localhost:8080/wordpress/?p=993	C:/Users/sss/Desktop/hhh/wp/wordpress/index5aa6.html	(from http://localhost:8080/wordpress/)
00:02:17	37162/37162	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:12%20GMT	http://localhost:8080/wordpress/?p=992	C:/Users/sss/Desktop/hhh/wp/wordpress/index0d0a.html	(from http://localhost:8080/wordpress/)
00:02:20	2309/2309	---M--	200	added ('OK')	application/json	date:Mon,%2013%20Jan%202020%2016:02:17%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fpage_id%3D2	C:/Users/sss/Desktop/hhh/wp/wordpress/index1b1c.json	(from http://localhost:8080/wordpress/)
00:02:23	739/739	---M--	200	added ('OK')	application/rss+xml	etag:%22762a086bba1c1410042a2e33c5318599%22	http://localhost:8080/wordpress/?feed=rss2&page_id=2	C:/Users/sss/Desktop/hhh/wp/wordpress/index76cc.html	(from http://localhost:8080/wordpress/?page_id=2)
00:02:26	2449/2449	---M--	200	added ('OK')	text/xml	date:Mon,%2013%20Jan%202020%2016:02:23%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fpage_id%3D2&format=xml	C:/Users/sss/Desktop/hhh/wp/wordpress/index3ecd.php	(from http://localhost:8080/wordpress/)
00:02:27	96655/96655	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:14%20GMT	http://localhost:8080/wordpress/?paged=7	C:/Users/sss/Desktop/hhh/wp/wordpress/indexd93f.html	(from http://localhost:8080/wordpress/)
00:02:27	121417/121417	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:12%20GMT	http://localhost:8080/wordpress/?paged=2	C:/Users/sss/Desktop/hhh/wp/wordpress/index6146.html	(from http://localhost:8080/wordpress/)
00:02:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jan%202020%2016:02:27%20GMT	http://localhost:8080/wordpress/?p=2	C:/Users/sss/Desktop/hhh/wp/wordpress/index905b.html	(from http://localhost:8080/wordpress/?page_id=2)
00:02:27	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2013%20Jan%202020%2016:02:27%20GMT	http://localhost:8080/wordpress/wp-admin/	C:/Users/sss/Desktop/hhh/wp/wordpress/wp-admin/index.html	(from http://localhost:8080/wordpress/?page_id=2)
00:02:27	126322/126322	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:14%20GMT	http://localhost:8080/wordpress/?m=202001	C:/Users/sss/Desktop/hhh/wp/wordpress/indexad71.html	(from http://localhost:8080/wordpress/)
00:02:29	2495/2495	---M--	200	added ('OK')	application/json	date:Mon,%2013%20Jan%202020%2016:02:27%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D1001	C:/Users/sss/Desktop/hhh/wp/wordpress/indexf9ce.json	(from http://localhost:8080/wordpress/)
00:02:31	34823/34823	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:27%20GMT	http://localhost:8080/wordpress/?p=991	C:/Users/sss/Desktop/hhh/wp/wordpress/index652e.html	(from http://localhost:8080/wordpress/?cat=2)
00:02:32	2611/2611	---M--	200	added ('OK')	text/xml	date:Mon,%2013%20Jan%202020%2016:02:31%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D1001&format=xml	C:/Users/sss/Desktop/hhh/wp/wordpress/indexf5a6.php	(from http://localhost:8080/wordpress/)
00:02:35	820/820	---M--	200	added ('OK')	application/rss+xml	etag:%2234234bb638d0a392ecffc404a2525afe%22	http://localhost:8080/wordpress/?feed=rss2&p=1001	C:/Users/sss/Desktop/hhh/wp/wordpress/index02a7.html	(from http://localhost:8080/wordpress/?p=1001)
00:02:36	2385/2385	---M--	200	added ('OK')	application/javascript	etag:%22951-597150c6b0180%22	http://localhost:8080/wordpress/wp-includes/js/comment-reply.min.js?ver=5.3.2	C:/Users/sss/Desktop/hhh/wp/wordpress/wp-includes/js/comment-reply.min9dff.js	(from http://localhost:8080/wordpress/)
00:02:38	98225/98225	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:29%20GMT	http://localhost:8080/wordpress/?paged=7&cat=2	C:/Users/sss/Desktop/hhh/wp/wordpress/indexf9b2.html	(from http://localhost:8080/wordpress/?cat=2)
00:02:38	124189/124189	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:27%20GMT	http://localhost:8080/wordpress/?paged=2&cat=2	C:/Users/sss/Desktop/hhh/wp/wordpress/indexf2dc.html	(from http://localhost:8080/wordpress/?cat=2)
00:02:40	2537/2537	---M--	200	added ('OK')	application/json	date:Mon,%2013%20Jan%202020%2016:02:39%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D1000	C:/Users/sss/Desktop/hhh/wp/wordpress/indexe3c5.json	(from http://localhost:8080/wordpress/)
00:02:47	122031/122031	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:38%20GMT	http://localhost:8080/wordpress/?paged=2&author=1	C:/Users/sss/Desktop/hhh/wp/wordpress/indexf3cc.html	(from http://localhost:8080/wordpress/?author=1)
00:02:47	97246/97246	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:02:41%20GMT	http://localhost:8080/wordpress/?paged=7&author=1	C:/Users/sss/Desktop/hhh/wp/wordpress/index5340.html	(from http://localhost:8080/wordpress/?author=1)
00:02:48	2656/2656	---M--	200	added ('OK')	text/xml	date:Mon,%2013%20Jan%202020%2016:02:47%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D1000&format=xml	C:/Users/sss/Desktop/hhh/wp/wordpress/indexdd5d.php	(from http://localhost:8080/wordpress/)
00:02:48	834/834	---M--	200	added ('OK')	application/rss+xml	etag:%222fda129a219e2231720d0e1d0a14b277%22	http://localhost:8080/wordpress/?feed=rss2&p=1000	C:/Users/sss/Desktop/hhh/wp/wordpress/index8a14.html	(from http://localhost:8080/wordpress/?p=1000)
00:02:49	2331/2331	---M--	200	added ('OK')	application/json	date:Mon,%2013%20Jan%202020%2016:02:48%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D999	C:/Users/sss/Desktop/hhh/wp/wordpress/index01fa.json	(from http://localhost:8080/wordpress/)
00:02:49	764/764	---M--	200	added ('OK')	application/rss+xml	etag:%2249507145371498fbd1f3a0909d6041ab%22	http://localhost:8080/wordpress/?feed=rss2&p=999	C:/Users/sss/Desktop/hhh/wp/wordpress/index8d8b.html	(from http://localhost:8080/wordpress/?p=999)
00:02:49	51878/51878	---MC-	200	added ('OK')	application/rss+xml	etag:%22d4e35160704d9c7666e8fc3e2b666699%22	http://localhost:8080/wordpress/?feed=rss2&cat=2	C:/Users/sss/Desktop/hhh/wp/wordpress/indexb63a.html	(from http://localhost:8080/wordpress/?cat=2)
00:02:49	2447/2447	---M--	200	added ('OK')	text/xml	date:Mon,%2013%20Jan%202020%2016:02:49%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D999&format=xml	C:/Users/sss/Desktop/hhh/wp/wordpress/index7957.php	(from http://localhost:8080/wordpress/)
